ssc_p,ssc_b,hsc_p,hsc_b,degree_p,workex,etest_p,mba_p,status,salary,gender_M,hsc_s_Commerce,hsc_s_Science,degree_t_Others,degree_t_Sci&Tech,specialisation_Mkt&HR,mba_p_scaled,salary_category
68.0,Others,56.0,Others,68.0,No,73.0,68.07,Placed,350000.0,True,False,True,False,True,True,0.936217924398269,1
69.0,Others,65.0,Others,57.0,No,73.0,55.8,Placed,265000.0,True,True,False,False,False,True,-1.1559718123638716,1
60.0,Others,67.0,Others,70.0,Yes,50.48,77.89,Placed,236000.0,True,False,False,False,False,False,2.6106517642519154,0
62.0,Others,65.0,Others,66.0,No,50.0,56.7,Placed,265000.0,True,True,False,False,False,True,-1.002510462479117,1
77.44,Central,92.0,Others,72.0,Yes,94.0,67.13,Placed,250000.0,False,True,False,False,False,False,0.7759360700741934,0
78.0,Central,77.0,Others,80.0,No,60.0,66.72,Placed,287000.0,False,True,False,False,False,False,0.7060258995711396,1
56.6,Central,64.8,Central,70.2,No,84.27,67.2,Placed,336000.0,True,True,False,False,False,False,0.7878719528430088,1
63.0,Central,66.2,Central,65.6,Yes,60.0,62.54,Placed,300000.0,True,True,False,False,False,False,-0.006716814338049539,1
62.0,Central,63.0,Others,66.0,No,85.0,55.14,Placed,233000.0,True,False,True,False,False,True,-1.2685101356126904,0
55.68,Others,61.33,Others,56.87,No,66.0,58.3,Placed,260000.0,True,True,False,False,False,True,-0.7296902849062226,0
82.0,Central,64.0,Central,66.0,Yes,67.0,62.14,Placed,252000.0,True,False,True,False,True,False,-0.07492185873127313,0
67.16,Central,72.5,Central,63.35,No,53.04,65.52,Placed,250000.0,False,True,False,False,False,False,0.5014107663914675,0
72.0,Others,63.0,Others,77.5,Yes,78.0,54.48,Placed,250000.0,True,False,True,False,True,False,-1.3810484588615104,0
81.0,Others,68.0,Others,64.0,No,93.0,62.56,Placed,411000.0,True,False,True,False,True,False,-0.0033065621183878133,1
63.0,Others,71.4,Others,61.4,No,68.0,66.88,Placed,240000.0,True,True,False,False,False,False,0.7333079173284285,0
73.0,Central,97.0,Others,79.0,Yes,89.0,70.81,Placed,650000.0,False,True,False,False,False,False,1.4034224784918539,1
81.7,Others,63.0,Others,67.0,Yes,86.0,70.2,Placed,300000.0,True,False,True,False,False,False,1.2994097857921876,1
77.0,Others,73.0,Others,81.0,Yes,89.0,69.7,Placed,200000.0,False,True,False,False,False,False,1.2141534803006577,0
63.0,Others,62.0,Others,68.0,No,64.0,62.46,Placed,250000.0,True,True,False,False,False,False,-0.020357823216694014,0
83.96,Others,53.0,Others,91.0,No,59.32,69.71,Placed,260000.0,False,False,True,False,True,True,1.2158586064104868,0
76.0,Central,80.0,Central,78.0,Yes,97.0,70.48,Placed,276000.0,True,False,True,False,True,True,1.3471533168674446,1
86.5,Others,64.2,Others,67.4,No,59.0,59.69,Placed,240000.0,False,False,True,False,True,False,-0.4926777556397696,0
